2025-05-02 16:53:26,261 INFO    MainThread:17156 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-05-02 16:53:26,262 INFO    MainThread:17156 [wandb_setup.py:_flush():67] Configure stats pid to 17156
2025-05-02 16:53:26,262 INFO    MainThread:17156 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Admin\.config\wandb\settings
2025-05-02 16:53:26,262 INFO    MainThread:17156 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Admin\Desktop\MLOps\diabetes_project_MLOPS\wandb\settings
2025-05-02 16:53:26,262 INFO    MainThread:17156 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-02 16:53:26,262 INFO    MainThread:17156 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\Admin\Desktop\MLOps\diabetes_project_MLOPS\wandb\run-20250502_165326-4rgy0pmn\logs\debug.log
2025-05-02 16:53:26,263 INFO    MainThread:17156 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\Admin\Desktop\MLOps\diabetes_project_MLOPS\wandb\run-20250502_165326-4rgy0pmn\logs\debug-internal.log
2025-05-02 16:53:26,263 INFO    MainThread:17156 [wandb_init.py:init():761] calling init triggers
2025-05-02 16:53:26,263 INFO    MainThread:17156 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-02 16:53:26,263 INFO    MainThread:17156 [wandb_init.py:init():784] starting backend
2025-05-02 16:53:26,263 INFO    MainThread:17156 [wandb_init.py:init():788] sending inform_init request
2025-05-02 16:53:26,285 INFO    MainThread:17156 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-02 16:53:26,285 INFO    MainThread:17156 [wandb_init.py:init():798] backend started and connected
2025-05-02 16:53:26,286 INFO    MainThread:17156 [wandb_init.py:init():891] updated telemetry
2025-05-02 16:53:26,290 INFO    MainThread:17156 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-05-02 16:53:27,207 INFO    MainThread:17156 [wandb_init.py:init():990] starting run threads in backend
2025-05-02 16:53:28,014 INFO    MainThread:17156 [wandb_run.py:_console_start():2375] atexit reg
2025-05-02 16:53:28,014 INFO    MainThread:17156 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-05-02 16:53:28,015 INFO    MainThread:17156 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-05-02 16:53:28,015 INFO    MainThread:17156 [wandb_run.py:_redirect():2315] Redirects installed.
2025-05-02 16:53:28,019 INFO    MainThread:17156 [wandb_init.py:init():1032] run started, returning control to user process
