2025-05-02 16:53:45,974 INFO    MainThread:9520 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-05-02 16:53:45,975 INFO    MainThread:9520 [wandb_setup.py:_flush():67] Configure stats pid to 9520
2025-05-02 16:53:45,975 INFO    MainThread:9520 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Admin\.config\wandb\settings
2025-05-02 16:53:45,975 INFO    MainThread:9520 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Admin\Desktop\MLOps\diabetes_project_MLOPS\wandb\settings
2025-05-02 16:53:45,975 INFO    MainThread:9520 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-02 16:53:45,975 INFO    MainThread:9520 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\Admin\Desktop\MLOps\diabetes_project_MLOPS\wandb\run-20250502_165345-efjpixn9\logs\debug.log
2025-05-02 16:53:45,976 INFO    MainThread:9520 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\Admin\Desktop\MLOps\diabetes_project_MLOPS\wandb\run-20250502_165345-efjpixn9\logs\debug-internal.log
2025-05-02 16:53:45,976 INFO    MainThread:9520 [wandb_init.py:init():761] calling init triggers
2025-05-02 16:53:45,976 INFO    MainThread:9520 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-02 16:53:45,976 INFO    MainThread:9520 [wandb_init.py:init():784] starting backend
2025-05-02 16:53:45,976 INFO    MainThread:9520 [wandb_init.py:init():788] sending inform_init request
2025-05-02 16:53:45,987 INFO    MainThread:9520 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-02 16:53:45,994 INFO    MainThread:9520 [wandb_init.py:init():798] backend started and connected
2025-05-02 16:53:45,995 INFO    MainThread:9520 [wandb_init.py:init():891] updated telemetry
2025-05-02 16:53:45,998 INFO    MainThread:9520 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-05-02 16:53:46,938 INFO    MainThread:9520 [wandb_init.py:init():990] starting run threads in backend
2025-05-02 16:53:47,715 INFO    MainThread:9520 [wandb_run.py:_console_start():2375] atexit reg
2025-05-02 16:53:47,715 INFO    MainThread:9520 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-05-02 16:53:47,715 INFO    MainThread:9520 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-05-02 16:53:47,715 INFO    MainThread:9520 [wandb_run.py:_redirect():2315] Redirects installed.
2025-05-02 16:53:47,720 INFO    MainThread:9520 [wandb_init.py:init():1032] run started, returning control to user process
2025-05-02 16:53:47,758 INFO    MainThread:9520 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\Admin\Desktop\MLOps\diabetes_project_MLOPS\wandb\run-20250502_165347-yjhgfa0e\logs\debug.log
2025-05-02 16:53:47,758 INFO    MainThread:9520 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\Admin\Desktop\MLOps\diabetes_project_MLOPS\wandb\run-20250502_165347-yjhgfa0e\logs\debug-internal.log
2025-05-02 16:53:47,758 INFO    MainThread:9520 [wandb_init.py:init():761] calling init triggers
2025-05-02 16:53:47,758 INFO    MainThread:9520 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-02 16:53:47,758 INFO    MainThread:9520 [wandb_init.py:init():773] finishing previous run: efjpixn9
2025-05-02 16:53:47,758 INFO    MainThread:9520 [wandb_run.py:_finish():2112] finishing run ngocnhi-p4work-national-economics-university/diabetes/efjpixn9
2025-05-02 16:53:47,758 INFO    MainThread:9520 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-05-02 16:53:47,763 INFO    MainThread:9520 [wandb_run.py:_restore():2322] restore
2025-05-02 16:53:47,764 INFO    MainThread:9520 [wandb_run.py:_restore():2328] restore done
2025-05-02 16:53:49,569 INFO    MainThread:9520 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-05-02 16:53:49,569 INFO    MainThread:9520 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-05-02 16:53:49,570 INFO    MainThread:9520 [wandb_run.py:_footer_sync_info():3917] logging synced files
