2025-05-04 09:34:28,717 INFO    MainThread:26048 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-05-04 09:34:28,718 INFO    MainThread:26048 [wandb_setup.py:_flush():67] Configure stats pid to 26048
2025-05-04 09:34:28,718 INFO    MainThread:26048 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Admin\.config\wandb\settings
2025-05-04 09:34:28,718 INFO    MainThread:26048 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Admin\Desktop\MLOps\hi\final\wandb\settings
2025-05-04 09:34:28,718 INFO    MainThread:26048 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-04 09:34:28,718 INFO    MainThread:26048 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\Admin\Desktop\MLOps\hi\final\wandb\run-20250504_093428-ba6mrhba\logs\debug.log
2025-05-04 09:34:28,718 INFO    MainThread:26048 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\Admin\Desktop\MLOps\hi\final\wandb\run-20250504_093428-ba6mrhba\logs\debug-internal.log
2025-05-04 09:34:28,718 INFO    MainThread:26048 [wandb_init.py:init():761] calling init triggers
2025-05-04 09:34:28,718 INFO    MainThread:26048 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-04 09:34:28,718 INFO    MainThread:26048 [wandb_init.py:init():784] starting backend
2025-05-04 09:34:28,718 INFO    MainThread:26048 [wandb_init.py:init():788] sending inform_init request
2025-05-04 09:34:28,734 INFO    MainThread:26048 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-04 09:34:28,734 INFO    MainThread:26048 [wandb_init.py:init():798] backend started and connected
2025-05-04 09:34:28,735 INFO    MainThread:26048 [wandb_init.py:init():891] updated telemetry
2025-05-04 09:34:28,738 INFO    MainThread:26048 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-05-04 09:34:43,388 INFO    MainThread:26048 [wandb_init.py:init():990] starting run threads in backend
2025-05-04 09:34:43,764 INFO    MainThread:26048 [wandb_run.py:_console_start():2375] atexit reg
2025-05-04 09:34:43,764 INFO    MainThread:26048 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-05-04 09:34:43,764 INFO    MainThread:26048 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-05-04 09:34:43,764 INFO    MainThread:26048 [wandb_run.py:_redirect():2315] Redirects installed.
2025-05-04 09:34:43,768 INFO    MainThread:26048 [wandb_init.py:init():1032] run started, returning control to user process
2025-05-04 09:34:43,782 INFO    MainThread:26048 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\Admin\Desktop\MLOps\hi\final\wandb\run-20250504_093443-3axb3dol\logs\debug.log
2025-05-04 09:34:43,783 INFO    MainThread:26048 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\Admin\Desktop\MLOps\hi\final\wandb\run-20250504_093443-3axb3dol\logs\debug-internal.log
2025-05-04 09:34:43,783 INFO    MainThread:26048 [wandb_init.py:init():761] calling init triggers
2025-05-04 09:34:43,783 INFO    MainThread:26048 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-04 09:34:43,783 INFO    MainThread:26048 [wandb_init.py:init():773] finishing previous run: ba6mrhba
2025-05-04 09:34:43,783 INFO    MainThread:26048 [wandb_run.py:_finish():2112] finishing run ngocnhi-p4work-national-economics-university/diabetes/ba6mrhba
2025-05-04 09:34:43,784 INFO    MainThread:26048 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-05-04 09:34:43,784 INFO    MainThread:26048 [wandb_run.py:_restore():2322] restore
2025-05-04 09:34:43,785 INFO    MainThread:26048 [wandb_run.py:_restore():2328] restore done
2025-05-04 09:35:24,359 INFO    MainThread:26048 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-05-04 09:35:24,359 INFO    MainThread:26048 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-05-04 09:35:24,360 INFO    MainThread:26048 [wandb_run.py:_footer_sync_info():3917] logging synced files
